timestamp,event_id,username,source_ip,dest_ip,process,action,details
2025-01-01T11:57:00,1149,user1,192.168.1.227,10.0.0.172,winword.exe,rdp_failed_login,Simulated log entry for cybersecurity Blueteams
2025-01-02T02:08:00,1149,admin,192.168.1.17,10.0.0.191,explorer.exe,rdp_failed_login,Simulated log entry for cybersecurity Blueteams
2025-01-03T21:35:00,4625,user1,192.168.1.81,10.0.0.197,lsass.exe,network_bruteforce,Simulated log entry for cybersecurity Blueteams
2025-01-03T16:43:00,1149,admin,192.168.1.160,10.0.0.217,svchost.exe,rdp_auth_attempt,Simulated log entry for cybersecurity Blueteams
2025-01-04T00:49:00,1149,admin,192.168.1.213,10.0.0.157,winword.exe,rdp_failed_login,Simulated log entry for cybersecurity Blueteams
2025-01-02T08:12:00,1149,admin,192.168.1.115,10.0.0.154,lsass.exe,rdp_auth_attempt,Simulated log entry for cybersecurity Blueteams
2025-01-04T08:18:00,4625,mered,192.168.1.81,10.0.0.232,cmd.exe,rdp_auth_attempt,Simulated log entry for cybersecurity Blueteams
2025-01-04T05:16:00,4625,svc-backup,192.168.1.125,10.0.0.169,lsass.exe,rdp_auth_attempt,Simulated log entry for cybersecurity Blueteams
2025-01-04T13:34:00,4625,svc-backup,192.168.1.7,10.0.0.38,powershell.exe,rdp_failed_login,Simulated log entry for cybersecurity Blueteams
2025-01-01T11:49:00,4625,svc-backup,192.168.1.162,10.0.0.235,lsass.exe,rdp_auth_attempt,Simulated log entry for cybersecurity Blueteams
2025-01-04T18:00:00,1149,mered,192.168.1.88,10.0.0.148,cmd.exe,rdp_failed_login,Simulated log entry for cybersecurity Blueteams
2025-01-04T18:04:00,4625,admin,192.168.1.124,10.0.0.193,winword.exe,network_bruteforce,Simulated log entry for cybersecurity Blueteams
