timestamp,event_id,username,source_ip,dest_ip,process,action,details
2025-01-03T02:48:00,5152,mered,192.168.1.94,10.0.0.129,lsass.exe,unusual_destination,Simulated log entry for cybersecurity Blue Team
2025-01-03T08:30:00,5156,user1,192.168.1.244,10.0.0.223,cmd.exe,unusual_destination,Simulated log entry for cybersecurity Blue Team
2025-01-03T05:05:00,5156,user1,192.168.1.126,10.0.0.36,explorer.exe,unusual_destination,Simulated log entry for cybersecurity Blue Team
2025-01-03T15:28:00,5156,mered,192.168.1.184,10.0.0.11,winword.exe,large_data_transfer,Simulated log entry for cybersecurity Blue Team
2025-01-04T01:04:00,5152,mered,192.168.1.28,10.0.0.75,cmd.exe,unusual_destination,Simulated log entry for cybersecurity Blue Team
2025-01-01T12:11:00,5156,analyst,192.168.1.3,10.0.0.56,cmd.exe,unencrypted_transfer,Simulated log entry for cybersecurity Blue Team
2025-01-02T23:00:00,5152,admin,192.168.1.115,10.0.0.185,lsass.exe,unencrypted_transfer,Simulated log entry for cybersecurity Blue Team
2025-01-01T09:36:00,5156,svc-backup,192.168.1.100,10.0.0.209,powershell.exe,unencrypted_transfer,Simulated log entry for cybersecurity Blue Team
2025-01-02T09:51:00,5152,user1,192.168.1.30,10.0.0.137,svchost.exe,unusual_destination,Simulated log entry for cybersecurity Blue Team
2025-01-01T21:21:00,5156,analyst,192.168.1.21,10.0.0.147,svchost.exe,large_data_transfer,Simulated log entry for cybersecurity Blue Team
2025-01-04T18:42:00,5156,admin,192.168.1.29,10.0.0.66,lsass.exe,unencrypted_transfer,Simulated log entry for cybersecurity Blue Team
2025-01-02T01:17:00,5156,user1,192.168.1.65,10.0.0.139,powershell.exe,large_data_transfer,Simulated log entry for cybersecurity Blue Team
2025-01-02T04:49:00,5152,analyst,192.168.1.161,10.0.0.194,explorer.exe,unusual_destination,Simulated log entry for cybersecurity Blue Team
2025-01-02T21:19:00,5152,analyst,192.168.1.196,10.0.0.127,explorer.exe,unusual_destination,Simulated log entry for cybersecurity Blue Team
2025-01-01T11:07:00,5156,user1,192.168.1.75,10.0.0.236,svchost.exe,large_data_transfer,Simulated log entry for cybersecurity Blue Team
2025-01-01T19:46:00,5156,mered,192.168.1.83,10.0.0.40,svchost.exe,unencrypted_transfer,Simulated log entry for cybersecurity Blue Team
2025-01-03T14:51:00,5152,admin,192.168.1.20,10.0.0.125,explorer.exe,large_data_transfer,Simulated log entry for cybersecurity Blue Team
2025-01-03T06:39:00,5152,mered,192.168.1.185,10.0.0.123,powershell.exe,unusual_destination,Simulated log entry for cybersecurity Blue Team
2025-01-03T13:15:00,5156,analyst,192.168.1.104,10.0.0.46,lsass.exe,unencrypted_transfer,Simulated log entry for cybersecurity Blue Team
2025-01-02T15:52:00,5152,mered,192.168.1.139,10.0.0.81,powershell.exe,unusual_destination,Simulated log entry for cybersecurity Blue Team
2025-01-04T00:52:00,5156,mered,192.168.1.162,10.0.0.134,cmd.exe,unusual_destination,Simulated log entry for cybersecurity Blue Team
2025-01-01T19:53:00,5156,mered,192.168.1.232,10.0.0.132,cmd.exe,unencrypted_transfer,Simulated log entry for cybersecurity Blue Team
